Time,Type,Heading,Pitch,Roll
2022-09-08 18:03:36.035563,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:36.547440,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:37.042698,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:37.539414,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:38.032838,ISHPR,316.6,+00.2,+000.2
2022-09-08 18:03:38.544093,ISHPR,316.7,+00.1,+000.2
2022-09-08 18:03:39.039472,ISHPR,316.7,+00.1,+000.1
2022-09-08 18:03:39.534906,ISHPR,316.7,+00.1,+000.1
2022-09-08 18:03:40.030198,ISHPR,316.7,+00.1,+000.1
2022-09-08 18:03:40.541532,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:41.037582,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:41.532272,ISHPR,316.6,+00.0,+000.2
2022-09-08 18:03:42.043477,ISHPR,316.6,+00.1,+000.2
2022-09-08 18:03:42.538936,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:43.034272,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:43.545464,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:44.040952,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:44.537006,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:45.031714,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:45.543568,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:46.038235,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:46.533678,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:47.045252,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:47.540333,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:48.035678,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:48.532490,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:49.042296,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:03:49.540316,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:03:50.033142,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:03:50.544260,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:03:51.040262,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:03:51.534972,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:03:52.032807,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:03:52.541747,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:53.037133,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:53.536341,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:54.043647,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:54.539148,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:55.035717,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:55.529846,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:56.041071,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:56.538064,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:57.031763,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:57.543291,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:58.038430,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:58.533922,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:59.030090,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:03:59.540538,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:00.035847,ISHPR,316.6,+00.1,+000.2
2022-09-08 18:04:00.532347,ISHPR,316.6,+00.1,+000.2
2022-09-08 18:04:01.042387,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:01.537928,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:02.033907,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:02.528692,ISHPR,316.6,+00.1,+000.2
2022-09-08 18:04:03.039897,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:03.535360,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:04.030706,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:04.541981,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:05.037278,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:05.532647,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:06.043741,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:06.545130,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:07.035013,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:07.530015,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:08.043115,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:08.536631,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:09.032099,ISHPR,316.6,+00.1,+000.1
2022-09-08 18:04:09.543215,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:10.038560,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:10.533964,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:11.029366,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:11.542153,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:12.036657,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:12.531316,ISHPR,316.5,+00.1,+000.2
2022-09-08 18:04:13.042565,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:13.539423,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:14.037193,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:14.528772,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:15.040558,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:15.535286,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:16.031642,ISHPR,316.5,+00.1,+000.2
2022-09-08 18:04:16.541955,ISHPR,316.5,+00.1,+000.2
2022-09-08 18:04:17.037521,ISHPR,316.5,+00.1,+000.2
2022-09-08 18:04:17.532709,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:18.028699,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:18.539422,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:19.038657,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:19.531541,ISHPR,316.5,+00.1,+000.1
2022-09-08 18:04:20.041424,ISHPR,316.5,+00.1,+000.1
